;Zenon;;Eprover;;Vampire;;
tptp-problems/euclid-nativeq/047_lemma_parallelcollinear.p ;1; Ok;0; Ok;0; Ok; No: 125
tptp-problems/euclid-nativeq/047_lemma_parallelflip.p ;143; Error  ;0; Ok;0; Ok; No: 126
tptp-problems/euclid-nativeq/048_lemma_8_2.p ;90; Error  ;355; Error;60; Error; No: 127
tptp-problems/euclid-nativeq/048_lemma_oppositesidesymmetric.p ;34; Error  ;1; Ok;0; Ok; No: 128
tptp-problems/euclid-nativeq/048_lemma_parallelPasch.p ;112; Error  ;341; Error;60; Error; No: 129
tptp-problems/euclid-nativeq/048_lemma_tworays.p ;1; Ok;0; Ok;0; Ok; No: 130
tptp-problems/euclid-nativeq/048_proposition_14.p ;209; Error  ;328; Error;61; Error; No: 131
tptp-problems/euclid-nativeq/049_lemma_equalanglesNC.p ;69; Error ;2; Ok;12; Ok; No: 132
tptp-problems/euclid-nativeq/050_lemma_paralleldef2A.p ;60; Error ;334; Error;60; Error; No: 133
tptp-problems/euclid-nativeq/056_lemma_fiveline.p ;49; Error  ;0; Ok;0; Ok; No: 134
tptp-problems/euclid-nativeq/056_lemma_midpointunique.p ;52; Error  ;0; Ok;1; Ok; No: 135
tptp-problems/euclid-nativeq/059_lemma_differenceofparts.p ;218; Error  ;324; Error;29; Ok; No: 136
tptp-problems/euclid-nativeq/059_lemma_squaresequal.p ;35; Error  ;228; Ok;10; Ok; No: 137
tptp-problems/euclid-nativeq/059_proposition_29B.p ;312; Error  ;342; Error;60; Error; No: 138
tptp-problems/euclid-nativeq/059_proposition_38.p ;150; Error  ;319; Error;60; Error; No: 139
tptp-problems/euclid-nativeq/060_lemma_lessthantransitive.p ;302; Error  ;313; Error;60; Error; No: 140
tptp-problems/euclid-nativeq/062_proposition_37.p ;43; Error  ;302; Error  ;60; Error  ; No : 141
tptp-problems/euclid-nativeq/064_proposition_47.p ;68; Error  ;307; Error  ;60; Error  ; No : 142
tptp-problems/euclid-nativeq/065_proposition_12.p ;304; Error  ;346; Error  ;60; Error  ; No : 143
tptp-problems/euclid-nativeq/066_proposition_30B.p ;170; Error  ;308; Error  ;60; Error  ; No : 144
tptp-problems/euclid-nativeq/067_lemma_10_12.p ;40; Error  ;309; Error  ;15; Ok; No: 145
tptp-problems/euclid-nativeq/067_proposition_44.p ;47; Error  ;318; Error  ;60; Error  ; No : 146
tptp-problems/euclid-nativeq/068_lemma_Playfairhelper.p ;198; Error  ;337; Error  ;60; Error  ; No : 147
tptp-problems/euclid-nativeq/069_proposition_06a.p ;86; Error  ;18; Ok;15; Ok; No: 148
tptp-problems/euclid-nativeq/070_lemma_collinearright.p ;125; Error  ;55; Ok;2; Ok; No: 149
tptp-problems/euclid-nativeq/070_proposition_01.p ;302; Error  ;3; Ok;60; Error  ; No : 150
tptp-problems/euclid-nativeq/070_proposition_48.p ;314; Error  ;304; Error  ;60; Error  ; No : 151
tptp-problems/euclid-nativeq/072_lemma_altitudebisectsbase.p ;157; Error  ;302; Error  ;60; Error  ; No : 152
tptp-problems/euclid-nativeq/072_lemma_legsmallerhypotenuse.p ;69; Error  ;320; Error  ;5; Ok; No: 153
tptp-problems/euclid-nativeq/072_proposition_09.p ;76; Error  ;524; Error  ;60; Error  ; No : 154
tptp-problems/euclid-nativeq/073_lemma_26helper.p ;168; Error  ;23; Ok;60; Error  ; No : 155
tptp-problems/euclid-nativeq/073_lemma_angleordertransitive.p ;291; Error  ;302; Error  ;60; Error  ; No : 156
tptp-problems/euclid-nativeq/073_lemma_collinearitypreserved.p ;116; Error  ;0; Ok;1; Ok; No: 157
tptp-problems/euclid-nativeq/074_lemma_lessthanadditive.p ;302; Error  ;338; Error  ;1; Ok; No: 158
tptp-problems/euclid-nativeq/075_proposition_29C.p ;128; Error  ;397; Error  ;60; Error  ; No : 159
tptp-problems/euclid-nativeq/076_proposition_23.p ;46; Error  ;199; Ok;22; Ok; No: 160
tptp-problems/euclid-nativeq/079_lemma_30helper.p ;307; Error  ;312; Error  ;60; Error  ; No : 161
tptp-problems/euclid-nativeq/079_lemma_triangletoparallelogram.p ;39; Error  ;404; Error  ;60; Error  ; No : 162
tptp-problems/euclid-nativeq/082_lemma_angleaddition.p ;314; Error  ;302; Error  ;60; Error  ; No : 163
tptp-problems/euclid-nativeq/082_proposition_21.p ;27; Error  ;3; Ok;60; Error  ; No : 164
tptp-problems/euclid-nativeq/083_lemma_angleorderrespectscongruence.p ;67; Error  ;343; Error  ;60; Error  ; No : 165
tptp-problems/euclid-nativeq/084_lemma_crossbar2.p ;164; Error  ;304; Error  ;60; Error  ; No : 166
tptp-problems/euclid-nativeq/084_proposition_34.p ;306; Error  ;0; Ok;61; Error  ; No : 167
tptp-problems/euclid-nativeq/085_lemma_squareunique.p ;237; Error  ;302; Error  ;61; Error  ; No : 168
tptp-problems/euclid-nativeq/086_lemma_9_5a.p ;87; Error  ;9; Ok;60; Error  ; No : 169
tptp-problems/euclid-nativeq/087_proposition_36.p ;168; Error  ;352; Error  ;61; Error  ; No : 170
tptp-problems/euclid-nativeq/090_lemma_rectangleparallelogram.p ;60; Error  ;327; Error  ;61; Error  ; No : 171
tptp-problems/euclid-nativeq/091_proposition_08.p ;46; Error  ;0; Ok;4; Ok; No: 172
tptp-problems/euclid-nativeq/093_lemma_9_5b.p ;175; Error  ;4; Ok;60; Error  ; No : 173
tptp-problems/euclid-nativeq/095_proposition_18.p ;42; Error  ;0; Ok;60; Error  ; No : 174
tptp-problems/euclid-nativeq/097_lemma_Playfairhelper2.p ;48; Error  ;315; Error  ;60; Error  ; No : 175
tptp-problems/euclid-nativeq/098_lemma_parallelbetween.p ;73; Error  ;2; Ok;2; Ok; No: 176
tptp-problems/euclid-nativeq/100_proposition_15.p ;49; Error  ;0; Ok;0; Ok; No: 177
tptp-problems/euclid-nativeq/100_proposition_39.p ;215; Error  ;0; Ok;1; Ok; No: 178
tptp-problems/euclid-nativeq/104_proposition_48A.p ;100; Error  ;301; Error  ;60; Error  ; No : 179
tptp-problems/euclid-nativeq/105_proposition_17.p ;200; Error  ;302; Error  ;60; Error  ; No : 180
tptp-problems/euclid-nativeq/108_proposition_20.p ;301; Error  ;322; Error  ;60; Error  ; No : 181
tptp-problems/euclid-nativeq/109_proposition_42B.p ;310; Error  ;309; Error  ;60; Error  ; No : 182
tptp-problems/euclid-nativeq/111_lemma_diagonalsbisect.p ;153; Error  ;305; Error  ;60; Error  ; No : 183
tptp-problems/euclid-nativeq/112_lemma_squareparallelogram.p ;27; Error  ;302; Error  ;60; Error  ; No : 184
tptp-problems/euclid-nativeq/114_proposition_26A.p ;116; Error  ;301; Error  ;60; Error  ; No : 185
tptp-problems/euclid-nativeq/116_lemma_layoffunique.p ;142; Error  ;0; Ok;1; Ok; No: 186
tptp-problems/euclid-nativeq/116_proposition_30A.p ;84; Error  ;309; Error  ;60; Error  ; No : 187
tptp-problems/euclid-nativeq/122_lemma_Euclid4.p ;253; Error  ;301; Error  ;60; Error  ; No : 188
tptp-problems/euclid-nativeq/125_proposition_11B.p ;47; Error  ;315; Error  ;60; Error  ; No : 189
tptp-problems/euclid-nativeq/127_lemma_rightangleNC.p ;102; Error  ;0; Ok;0; Ok; No: 190
tptp-problems/euclid-nativeq/127_lemma_supplementinequality.p ;31; Error  ;302; Error  ;60; Error  ; No : 191
tptp-problems/euclid-nativeq/133_lemma_9_5.p ;148; Error  ;10; Ok;1; Ok; No: 192
tptp-problems/euclid-nativeq/133_proposition_43B.p ;269; Error  ;302; Error  ;60; Error  ; No : 193
tptp-problems/euclid-nativeq/134_lemma_crossbar.p ;303; Error  ;322; Error  ;61; Error  ; No : 194
tptp-problems/euclid-nativeq/134_proposition_39A.p ;122; Error  ;306; Error  ;60; Error  ; No : 195
tptp-problems/euclid-nativeq/138_lemma_notperp.p ;210; Error  ;302; Error  ;60; Error  ; No : 196
tptp-problems/euclid-nativeq/138_lemma_parallelcollinear2.p ;30; Error  ;338; Error  ;60; Error  ; No : 197
tptp-problems/euclid-nativeq/145_lemma_angletrichotomy.p ;26; Error  ;306; Error  ;60; Error  ; No : 198
tptp-problems/euclid-nativeq/147_lemma_linereflectionisometry.p ;303; Error  ;301; Error  ;60; Error  ; No : 199
tptp-problems/euclid-nativeq/147_lemma_sameside2.p ;43; Error  ;302; Error  ;60; Error  ; No : 200
tptp-problems/euclid-nativeq/147_lemma_together2.p ;314; Error  ;303; Error  ;60; Error  ; No : 201
tptp-problems/euclid-nativeq/150_lemma_pointreflectionisometry.p ;252; Error  ;192; Ok;60; Error  ; No : 202
tptp-problems/euclid-nativeq/150_proposition_10.p ;58; Error  ;317; Error  ;60; Error  ; No : 203
tptp-problems/euclid-nativeq/154_lemma_collinearbetween.p ;206; Error  ;326; Error  ;60; Error  ; No : 204
tptp-problems/euclid-nativeq/164_lemma_altitudeofrighttriangle.p ;219; Error  ;0; Ok;0; Ok; No: 205
tptp-problems/euclid-nativeq/166_lemma_diagonalsmeet.p ;101; Error  ;340; Error  ;60; Error  ; No : 206
tptp-problems/euclid-nativeq/166_proposition_45.p ;177; Error  ;301; Error  ;60; Error  ; No : 207
tptp-problems/euclid-nativeq/173_proposition_31.p ;135; Error  ;302; Error  ;60; Error  ; No : 208
tptp-problems/euclid-nativeq/175_lemma_collinear4.p ;84; Error  ;1; Ok;0; Ok; No: 209
tptp-problems/euclid-nativeq/176_proposition_22.p ;59; Error  ;304; Error  ;60; Error  ; No : 210
tptp-problems/euclid-nativeq/180_proposition_46.p ;33; Error  ;301; Error  ;61; Error  ; No : 211
tptp-problems/euclid-nativeq/182_lemma_paralleldef2B.p ;165; Error  ;346; Error  ;60; Error  ; No : 212
tptp-problems/euclid-nativeq/190_lemma_35helper.p ;259; Error  ;302; Error  ;60; Error  ; No : 213
tptp-problems/euclid-nativeq/197_lemma_crisscross.p ;36; Error  ;301; Error  ;60; Error  ; No : 214
tptp-problems/euclid-nativeq/199_proposition_47B.p ;272; Error  ;307; Error  ;60; Error  ; No : 215
tptp-problems/euclid-nativeq/204_proposition_32.p ;68; Error  ;306; Error  ;60; Error  ; No : 216
tptp-problems/euclid-nativeq/209_proposition_04.p ;909; Error  ;303; Error  ;60; Error  ; No : 217
tptp-problems/euclid-nativeq/215_proposition_47A.p ;108; Error  ;302; Error  ;60; Error  ; No : 218
