tptp-problems/euclid-native-eq/018_lemma_samesidecollinear.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/018_proposition_06.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/020_lemma_TGsymmetric.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 124; Failed; 
tptp-problems/euclid-native-eq/020_proposition_13.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/021_lemma_together.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 119; Failed; 
tptp-problems/euclid-native-eq/021_proposition_05b.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 7; Proved; 
tptp-problems/euclid-native-eq/022_lemma_TGflip.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 137; Failed; 
tptp-problems/euclid-native-eq/022_proposition_33B.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 101; Failed; 
tptp-problems/euclid-native-eq/023_lemma_collinearparallel.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/023_lemma_NChelper.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/024_lemma_betweennesspreserved.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 137; Failed; 
tptp-problems/euclid-native-eq/024_lemma_TTtransitive.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/025_lemma_NCdistinct.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 0; Failed; 
tptp-problems/euclid-native-eq/025_lemma_righttogether.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 113; Failed; 
tptp-problems/euclid-native-eq/025_lemma_TTflip2.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/025_lemma_twoperpsparallel.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/025_proposition_11.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/025_proposition_27B.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 119; Failed; 
tptp-problems/euclid-native-eq/026_proposition_26B.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
tptp-problems/euclid-native-eq/026_proposition_28C.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/026_proposition_28D.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 136; Failed; 
tptp-problems/euclid-native-eq/026_proposition_41.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/027_lemma_betweennotequal.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/027_lemma_erectedperpendicularunique.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 118; Failed; 
tptp-problems/euclid-native-eq/030_lemma_ray4_1.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 1; Proved; 
tptp-problems/euclid-native-eq/030_lemma_ray4_2.p; CLprover-h -l 100 -m 8 -p 128 -n 3  -estl -ftptp -vcoq -anegelim -aexcludedmiddle ; 100; Failed; 
